Frame,Box_leftX,Box_Uppery,Box_RightX,Box_LowerY
146,980,561,1097,619
147,982,556,1100,614
148,983,551,1102,610
149,984,547,1104,608
150,986,543,1106,608
151,986,540,1108,609
152,987,538,1110,611
153,987,536,1111,614
154,988,536,1112,616
155,987,536,1113,619
156,987,538,1113,621
157,986,540,1112,623
158,984,543,1110,624
159,982,546,1108,625
160,979,549,1105,625
161,977,553,1102,624
162,973,556,1098,624
163,970,558,1094,623
164,967,560,1090,623
165,963,562,1086,623
166,959,563,1081,624
167,955,564,1077,625
168,950,565,1073,625
169,946,566,1068,626
170,941,566,1064,626
171,937,567,1059,627
172,932,567,1055,627
173,927,568,1050,628
174,923,568,1045,628
175,918,568,1040,628
176,913,568,1036,628
177,908,568,1031,629
178,903,566,1026,631
179,898,565,1021,632
180,893,563,1017,634
181,888,561,1013,636
182,884,560,1009,637
183,880,558,1006,639
184,877,557,1003,640
185,874,557,1000,642
186,871,558,997,643
187,870,559,995,643
188,868,560,993,644
189,868,562,992,645
190,867,564,991,646
191,867,566,991,647
192,868,569,990,647
193,869,572,991,648
194,870,575,991,648
195,872,579,991,649
196,874,583,992,649
197,876,586,993,650
198,878,590,994,650
199,880,593,995,651
200,882,595,996,652
201,884,598,997,653
202,885,600,999,654
203,887,601,1000,655
204,889,602,1002,656
205,890,603,1003,657
206,892,604,1005,657
207,895,605,1008,658
208,898,605,1010,658
209,901,606,1014,659
210,905,606,1017,660
211,909,607,1021,660
212,915,607,1026,660
213,920,608,1032,659
214,927,608,1037,658
215,933,608,1044,658
216,940,608,1050,658
217,948,609,1056,658
218,956,609,1063,658
219,963,609,1071,658
220,969,607,1078,659
221,976,606,1085,660
222,982,604,1092,661
223,987,603,1099,662
224,993,600,1105,664
225,998,597,1111,667
226,1002,594,1116,670
227,1007,591,1121,673
228,1010,588,1124,676
229,1013,586,1126,678
230,1014,584,1127,680
231,1015,583,1126,680
232,1014,584,1125,680
233,1012,586,1123,679
234,1009,589,1119,677
235,1005,594,1115,673
236,1001,600,1110,668
237,997,606,1103,663
238,993,612,1097,659
239,988,613,1091,660
240,984,613,1087,660
241,979,612,1082,662
242,975,609,1078,667
243,972,604,1075,670
244,971,599,1073,673
245,970,595,1073,674
246,972,592,1073,674
247,975,591,1076,673
248,979,591,1081,671
249,985,592,1087,668
250,992,596,1094,663
251,999,601,1103,657
252,1006,603,1111,651
253,1015,603,1120,650
254,1023,603,1129,649
255,1031,598,1140,651
256,1039,596,1149,651
257,1047,595,1159,650
258,1056,594,1168,648
259,1064,593,1177,646
260,1071,591,1186,647
261,1078,588,1195,649
262,1085,583,1203,654
263,1092,577,1211,659
264,1098,572,1217,664
265,1104,568,1221,668
266,1108,565,1223,670
267,1110,564,1225,671
268,1109,565,1225,670
269,1107,568,1225,666
270,1104,573,1223,661
271,1100,580,1219,654
272,1096,587,1214,648
273,1092,593,1209,644
274,1088,594,1203,644
275,1084,595,1198,645
276,1079,596,1194,647
277,1075,593,1189,653
278,1070,591,1184,658
279,1064,591,1178,662
280,1059,592,1172,663
281,1053,596,1165,661
282,1047,600,1157,658
283,1041,605,1149,655
284,1035,608,1141,654
285,1029,608,1134,656
286,1022,607,1127,659
287,1015,604,1119,664
288,1007,602,1111,667
289,1000,602,1103,668
290,993,604,1094,667
291,985,607,1085,663
292,978,611,1075,659
293,970,613,1065,657
294,962,613,1057,658
295,955,614,1048,658
296,947,616,1040,659
297,940,617,1032,659
298,932,617,1024,660
299,925,616,1018,662
300,918,611,1011,667
301,913,604,1006,671
302,909,599,1003,673
303,907,597,1001,674
304,905,595,1000,674
305,906,596,1000,673
306,907,597,1001,671
307,910,599,1003,669
308,914,604,1007,665
309,919,610,1012,660
310,925,612,1017,656
311,932,613,1023,656
312,938,613,1029,657
313,942,609,1036,660
314,947,608,1042,661
315,952,607,1047,660
316,957,608,1053,659
317,962,609,1058,658
318,966,610,1063,658
319,970,610,1068,659
320,974,611,1073,660
321,978,612,1078,661
322,982,613,1082,663
323,985,614,1087,665
324,988,616,1091,665
325,992,619,1094,663
326,996,619,1098,663
327,999,616,1103,663
328,1003,612,1108,667
329,1009,603,1114,671
330,1016,596,1121,673
331,1023,592,1129,671
332,1031,592,1140,667
333,1040,594,1152,660
334,1051,598,1165,652
335,1062,597,1178,647
336,1075,595,1192,644
337,1087,591,1208,644
338,1099,584,1224,645
339,1111,577,1239,644
340,1123,569,1253,645
341,1135,560,1267,647
342,1147,550,1278,650
343,1158,541,1287,652
344,1168,533,1294,653
345,1175,527,1300,653
346,1178,524,1304,651
347,1179,523,1307,647
348,1176,526,1310,641
349,1173,530,1310,634
350,1168,537,1308,626
351,1164,544,1305,618
352,1161,551,1300,612
353,1157,552,1295,610
354,1153,553,1289,611
355,1149,555,1285,612
356,1145,556,1280,613
357,1140,558,1276,615
358,1136,560,1272,616
359,1132,560,1268,620
360,1127,558,1264,626
361,1122,553,1258,633
362,1117,548,1252,641
363,1112,542,1243,649
364,1105,539,1233,653
365,1096,538,1221,655
366,1084,540,1209,655
367,1071,544,1196,651
368,1056,552,1181,646
369,1042,560,1166,639
370,1027,569,1149,633
371,1014,576,1132,628
372,1000,577,1115,630
373,986,579,1099,632
374,973,581,1084,635
375,960,584,1069,637
376,947,588,1055,639
377,935,592,1041,641
378,922,595,1026,643
379,909,596,1014,645
380,896,597,1001,648
381,884,592,990,655
382,873,586,980,661
383,865,582,973,664
384,858,579,967,665
385,853,579,962,665
386,849,579,958,664
387,847,580,956,663
388,846,583,955,660
389,846,587,955,656
390,848,593,955,650
391,851,595,957,647
392,855,596,959,646
393,859,597,962,646
394,861,593,966,650
395,864,591,970,650
396,866,591,972,650
397,868,591,975,649
398,870,590,977,650
399,870,587,979,653
400,870,582,981,659
401,869,576,982,666
402,868,570,981,672
403,865,566,979,677
404,862,564,975,679
405,856,565,970,677
406,850,568,964,673
407,842,574,955,667
408,835,582,946,659
409,827,589,936,653
410,818,595,925,648
411,808,596,916,648
412,798,597,907,649
413,788,598,898,649
414,779,598,891,649
415,770,597,884,648
416,761,592,878,654
417,754,583,873,659
418,748,576,869,661
419,744,571,865,662
420,741,569,862,660
421,740,570,861,657
422,739,573,860,652
423,740,579,860,645
424,742,583,859,637
425,745,583,860,636
426,748,584,860,635
427,750,579,863,639
428,751,576,865,641
429,753,575,867,640
430,754,575,868,638
431,754,576,870,637
432,755,576,871,636
433,755,577,872,637
434,755,577,873,638
435,755,577,874,639
436,755,578,874,640
437,754,579,875,642
438,753,580,875,643
439,752,581,875,644
440,751,583,874,645
441,749,584,874,647
442,747,585,874,648
443,745,586,873,649
444,743,587,872,650
445,741,587,871,651
446,738,588,869,652
447,735,589,868,652
448,733,589,866,653
449,729,589,864,654
450,726,589,862,654
451,722,584,861,657
452,719,579,859,660
453,717,573,858,664
454,716,568,857,667
455,715,564,857,669
456,716,562,858,671
457,718,561,859,671
458,720,561,861,670
459,723,563,865,669
460,728,567,869,666
461,733,573,873,662
462,739,580,877,659
463,746,586,882,656
464,752,591,886,654
465,759,592,891,655
466,765,594,896,656
467,771,595,901,657
468,776,596,906,658
469,782,598,910,659
470,787,599,914,660
471,791,600,917,661
472,795,601,921,661
473,799,600,924,663
474,803,594,929,667
475,807,588,934,672
476,813,582,940,677
477,819,578,945,680
478,826,575,952,682
479,834,575,958,683
480,843,577,966,682
481,852,581,973,681
482,861,586,982,680
483,872,592,990,679
484,883,599,999,677
485,894,605,1008,676
486,905,612,1017,674
487,917,618,1026,674
488,927,622,1036,674
489,936,625,1045,675
490,945,627,1054,677
491,954,630,1062,678
492,962,631,1070,680
493,970,633,1077,681
494,978,635,1084,683
495,985,635,1091,684
496,992,633,1097,687
497,999,631,1103,690
498,1006,630,1110,691
499,1013,632,1116,691
500,1020,635,1122,689
501,1028,639,1128,687
502,1034,642,1135,686
503,1040,643,1141,686
504,1046,644,1146,686
505,1052,645,1151,686
506,1057,645,1156,686
507,1062,646,1161,687
508,1066,647,1166,689
509,1070,648,1170,690
510,1074,649,1174,694
511,1077,647,1177,697
512,1079,646,1179,699
513,1081,647,1180,700
514,1082,647,1181,700
515,1083,649,1180,699
516,1083,652,1180,697
517,1083,654,1178,694
518,1082,655,1176,694
519,1081,656,1174,694
520,1080,657,1172,694
521,1079,659,1170,695
522,1078,660,1167,697
523,1076,661,1165,698
524,1074,663,1163,699
525,1072,664,1161,701
526,1070,666,1158,702
527,1068,667,1156,704
528,1066,669,1154,705
529,1063,670,1152,707
530,1060,671,1149,708
531,1057,672,1146,709
532,1054,672,1142,709
533,1051,673,1138,709
534,1047,673,1134,710
535,1043,674,1130,710
536,1039,674,1125,711
537,1035,675,1120,711
538,1030,675,1115,711
539,1026,677,1109,710
540,1022,677,1104,710
541,1017,675,1100,710
542,1013,672,1096,714
543,1010,665,1092,717
544,1008,659,1089,719
545,1006,655,1087,720
546,1005,652,1086,719
547,1006,650,1087,717
548,1008,650,1089,714
549,1010,653,1093,709
550,1013,657,1097,704
551,1016,659,1101,697
552,1021,659,1106,696
553,1025,658,1111,695
554,1029,654,1117,696
555,1033,652,1122,696
556,1037,650,1127,695
557,1042,649,1131,693
558,1046,649,1136,691
559,1049,648,1140,690
560,1053,648,1145,689
561,1056,647,1149,689
562,1060,647,1153,689
563,1063,646,1157,689
564,1066,646,1161,689
565,1069,646,1165,689
566,1072,647,1168,689
567,1075,647,1172,689
568,1078,647,1175,690
569,1080,647,1179,690
570,1083,647,1182,690
571,1085,647,1185,690
572,1087,647,1188,690
573,1089,647,1190,691
574,1091,647,1193,691
575,1093,647,1196,691
576,1095,647,1198,691
577,1097,647,1200,691
578,1098,646,1203,691
579,1100,646,1205,690
580,1101,646,1207,690
581,1102,646,1208,689
582,1104,645,1210,689
583,1105,645,1212,689
584,1105,644,1213,689
585,1106,641,1215,691
586,1106,636,1216,694
587,1106,630,1217,699
588,1106,624,1216,704
589,1106,618,1213,708
590,1104,613,1209,710
591,1100,610,1203,710
592,1093,608,1197,708
593,1085,609,1189,704
594,1076,612,1181,699
595,1066,617,1172,692
596,1055,623,1161,684
597,1046,628,1149,678
598,1036,631,1137,674
599,1026,630,1125,674
600,1016,630,1114,674
601,1006,631,1103,674
602,996,631,1093,674
603,987,631,1083,673
604,978,630,1074,673
605,971,626,1065,677
606,962,618,1057,682
607,955,612,1049,685
608,950,608,1043,686
609,946,605,1039,685
610,943,605,1037,684
611,942,607,1036,681
612,942,611,1037,676
613,943,617,1038,670
614,945,620,1040,664
615,947,621,1041,664
616,949,621,1044,664
617,950,617,1047,667
618,951,616,1049,668
619,953,615,1051,667
620,954,616,1053,666
621,956,618,1054,664
622,957,619,1055,662
623,958,618,1057,662
624,959,617,1060,662
625,961,616,1063,664
626,963,615,1066,666
627,966,614,1070,665
628,969,613,1074,662
629,974,613,1078,661
630,978,613,1083,660
631,983,612,1089,660
632,987,608,1095,662
633,991,605,1101,661
634,995,604,1106,660
635,1000,603,1111,658
636,1004,602,1116,657
637,1007,601,1121,658
638,1011,598,1126,660
639,1014,596,1131,662
640,1017,593,1135,665
641,1020,591,1139,667
642,1022,590,1141,667
643,1024,590,1144,667
644,1026,590,1145,667
645,1028,591,1147,666
646,1029,590,1148,667
647,1030,591,1149,667
648,1031,593,1150,667
649,1032,596,1151,666
650,1032,600,1152,665
651,1033,604,1153,664
652,1033,607,1154,664
653,1034,610,1154,664
654,1034,612,1155,665
655,1035,614,1155,666
656,1035,616,1155,667
657,1035,617,1155,669
658,1035,618,1154,669
659,1035,613,1154,674
660,1034,607,1154,679
661,1034,598,1156,685
662,1035,591,1158,689
663,1037,585,1161,692
664,1040,583,1164,693
665,1045,583,1167,692
666,1050,587,1171,690
667,1056,594,1176,685
668,1063,604,1181,680
669,1071,613,1186,675
670,1078,622,1192,670
671,1084,624,1199,671
672,1090,626,1204,672
673,1096,628,1210,673
674,1102,629,1215,674
675,1107,631,1219,675
676,1112,633,1224,677
677,1117,635,1228,679
678,1122,637,1232,682
679,1126,640,1235,684
680,1130,643,1239,686
681,1134,645,1242,688
682,1138,648,1245,691
683,1141,651,1248,693
684,1145,653,1250,695
685,1148,657,1253,697
686,1151,661,1254,696
687,1154,662,1256,698
688,1157,663,1259,700
689,1160,660,1262,705
690,1163,658,1266,708
691,1167,657,1270,709
692,1172,659,1274,708
693,1178,664,1279,704
694,1184,666,1284,701
695,1190,667,1290,701
696,1195,665,1296,703
697,1200,663,1302,705
698,1206,663,1307,706
699,1211,664,1312,705
700,1217,665,1317,705
701,1222,666,1322,704
702,1226,667,1326,705
703,1231,669,1331,706
704,1235,670,1335,707
705,1239,671,1340,708
706,1243,672,1344,710
707,1246,673,1348,711
708,1249,674,1351,713
709,1252,675,1355,716
710,1255,675,1357,718
711,1257,674,1359,719
712,1258,675,1361,720
713,1259,675,1362,720
714,1260,676,1363,719
715,1260,677,1363,718
716,1261,678,1362,717
717,1260,679,1362,715
718,1260,679,1361,715
719,1259,679,1360,715
720,1258,679,1359,715
721,1257,680,1357,715
722,1256,680,1356,716
723,1255,680,1355,716
724,1253,680,1353,716
725,1252,680,1352,716
726,1251,681,1350,717
727,1249,681,1349,717
728,1247,681,1347,717
729,1246,681,1345,717
730,1244,681,1344,717
731,1242,681,1342,718
732,1240,681,1340,718
733,1237,681,1338,718
734,1235,681,1336,718
735,1232,681,1334,720
736,1229,679,1331,722
737,1225,678,1328,721
738,1221,678,1324,718
739,1217,676,1319,714
740,1213,675,1314,712
741,1209,673,1309,710
742,1205,672,1304,708
743,1200,670,1299,708
744,1195,669,1294,707
745,1190,668,1289,706
746,1185,667,1284,704
747,1181,666,1279,703
748,1176,665,1274,702
749,1171,663,1270,701
750,1167,661,1267,701
751,1163,659,1264,702
752,1160,658,1261,701
753,1157,657,1258,700
754,1155,656,1256,697
755,1153,656,1254,696
756,1152,655,1253,695
757,1151,655,1252,694
758,1150,655,1252,694
759,1149,654,1252,693
760,1147,652,1252,693
761,1146,651,1251,693
762,1144,650,1251,693
763,1143,649,1250,691
764,1142,649,1249,689
765,1141,646,1247,687
766,1140,642,1248,686
767,1139,635,1249,689
768,1140,627,1250,689
769,1141,622,1253,686
770,1144,620,1257,680
771,1147,620,1261,672
772,1152,617,1266,666
773,1157,614,1272,662
774,1161,610,1279,658
775,1165,603,1286,658
776,1170,598,1293,655
777,1175,595,1299,651
778,1180,592,1305,647
779,1185,589,1311,643
780,1189,584,1318,642
781,1193,579,1324,643
782,1197,572,1329,646
783,1201,565,1333,650
784,1204,558,1336,653
785,1206,553,1337,655
786,1206,550,1338,656
787,1205,548,1337,654
788,1201,549,1335,652
789,1196,551,1331,647
790,1190,555,1327,641
791,1183,560,1320,635
792,1177,564,1313,629
793,1170,568,1305,624
794,1164,568,1297,623
795,1157,568,1289,624
796,1150,568,1282,624
797,1142,569,1275,624
798,1135,568,1267,626
799,1129,565,1260,628
800,1122,562,1252,631
801,1114,559,1244,634
802,1108,556,1238,637
803,1101,554,1232,640
804,1096,553,1226,641
805,1091,554,1221,642
806,1086,555,1216,643
807,1082,557,1211,644
808,1079,561,1207,644
809,1076,565,1203,644
810,1074,570,1200,644
811,1072,576,1197,643
812,1070,581,1194,642
813,1068,585,1191,642
814,1067,588,1190,642
815,1065,589,1188,642
816,1064,590,1188,643
817,1064,591,1187,643
818,1064,591,1187,645
819,1065,592,1188,646
820,1067,592,1190,646
821,1069,593,1192,646
822,1071,593,1195,646
823,1075,592,1199,645
824,1078,591,1203,646
825,1083,590,1208,646
826,1088,589,1214,647
827,1093,588,1219,648
828,1099,587,1225,648
829,1106,585,1232,649
830,1112,584,1239,649
831,1118,583,1246,649
832,1124,581,1253,649
833,1130,581,1260,649
834,1136,581,1267,649
835,1143,582,1274,648
836,1149,584,1281,647
837,1154,586,1288,645
838,1160,586,1294,647
839,1166,585,1301,648
840,1171,585,1307,649
841,1176,584,1312,651
842,1181,583,1317,653
843,1185,582,1321,655
844,1189,581,1325,657
845,1191,580,1328,659
846,1194,580,1329,661
847,1195,580,1330,663
848,1195,580,1330,664
849,1195,581,1329,665
850,1194,583,1327,665
851,1192,585,1324,664
852,1189,589,1321,663
853,1186,593,1316,661
854,1182,597,1311,659
855,1178,601,1306,657
856,1174,604,1301,657
857,1170,606,1295,657
858,1166,608,1290,658
859,1161,610,1284,658
860,1157,612,1279,659
861,1154,612,1273,660
862,1149,612,1269,660
863,1146,611,1266,661
864,1143,608,1263,666
865,1142,602,1261,670
866,1142,597,1260,673
867,1143,594,1260,673
868,1146,592,1263,672
869,1149,592,1267,669
870,1154,595,1273,664
871,1159,600,1281,657
872,1166,601,1288,650
873,1175,600,1296,649
874,1182,599,1306,647
875,1189,593,1316,650
876,1197,587,1325,653
877,1204,581,1333,656
878,1211,574,1339,660
879,1218,568,1344,663
880,1223,562,1347,665
881,1227,559,1348,666
882,1227,558,1349,665
883,1226,559,1349,662
884,1222,562,1347,658
885,1218,568,1345,653
886,1213,574,1341,647
887,1208,581,1335,643
888,1204,586,1329,640
889,1200,591,1323,639
890,1195,593,1317,641
891,1190,596,1312,643
892,1186,598,1306,645
893,1181,600,1301,648
894,1176,603,1295,650
895,1171,606,1290,652
896,1167,608,1284,654
897,1162,611,1279,656
898,1157,614,1273,659
899,1152,616,1268,661
900,1147,618,1263,663
901,1142,621,1257,665
902,1137,623,1252,667
903,1132,624,1247,669
904,1126,626,1243,671
905,1121,627,1238,673
906,1116,628,1233,674
907,1110,629,1229,676
908,1104,629,1224,677
909,1099,630,1220,678
910,1094,630,1215,679
911,1089,631,1211,679
912,1084,631,1206,680
913,1079,631,1201,680
914,1075,631,1196,680
915,1071,632,1191,681
916,1068,632,1185,681
917,1065,633,1179,681
918,1063,634,1172,681
919,1061,635,1165,682
920,1060,636,1158,682
921,1059,637,1150,682
922,1058,638,1142,683
923,1058,640,1139,683
924,1052,641,1138,683
925,1044,642,1137,684
926,1037,642,1136,686
927,1030,642,1134,687
928,1024,642,1132,688
929,1018,643,1129,689
930,1013,643,1126,690
931,1008,644,1122,690
932,1003,644,1118,691
933,999,645,1113,692
934,996,646,1108,692
935,993,647,1102,692
936,991,648,1096,692
937,989,649,1089,692
938,987,650,1082,692
939,986,651,1074,692
940,984,651,1073,693
941,977,651,1071,694
942,970,651,1069,694
943,964,650,1067,695
944,958,650,1064,695
945,952,650,1060,696
946,947,649,1056,696
947,942,649,1051,696
948,938,649,1046,696
949,934,649,1040,696
950,931,649,1034,696
951,928,649,1027,696
952,926,649,1020,695
953,924,650,1013,695
954,922,650,1005,694
955,921,650,996,693
956,920,651,993,692
957,912,651,992,692
958,904,650,990,692
959,897,649,988,692
960,890,649,986,692
961,883,648,983,692
962,877,648,979,692
963,871,648,975,691
964,866,647,971,691
965,861,647,966,691
966,857,647,961,690
967,854,648,955,690
968,851,648,949,689
969,848,649,943,687
970,845,650,937,685
971,843,648,932,684
972,840,646,928,683
973,838,643,924,683
974,836,638,921,685
975,835,631,918,686
976,834,626,917,686
977,834,623,918,685
978,835,621,919,682
979,835,622,921,677
980,835,624,923,671
981,836,627,925,664
982,837,625,928,661
983,839,621,930,661
984,841,618,933,661
985,842,615,936,660
986,844,612,938,658
987,845,611,940,657
988,847,610,942,655
989,848,610,944,653
990,849,609,945,652
991,850,609,947,651
992,851,608,948,651
993,852,608,949,651
994,852,607,950,651
995,853,607,951,651
996,854,607,952,651
997,854,606,952,651
998,855,606,953,651
999,855,606,953,651
1000,856,606,953,650
1001,856,606,952,650
1002,857,606,951,650
1003,857,605,951,649
1004,858,605,950,649
1005,858,605,949,648
1006,858,605,948,648
1007,857,605,948,647
1008,857,605,947,647
1009,857,604,946,647
1010,856,604,944,647
1011,855,604,943,647
1012,854,603,942,647
1013,852,603,940,647
1014,850,604,938,645
1015,848,603,937,645
1016,845,601,936,644
1017,843,599,936,643
1018,842,597,936,642
1019,841,595,937,642
1020,841,593,938,641
1021,841,592,939,639
1022,843,591,940,637
1023,845,590,942,636
1024,847,589,944,635
1025,850,588,946,633
1026,853,587,948,632
1027,856,585,951,631
1028,859,582,954,630
1029,861,580,957,630
1030,864,578,959,628
1031,866,577,962,627
1032,868,577,965,626
1033,870,576,967,626
1034,873,576,970,627
1035,875,576,973,627
1036,877,577,975,628
1037,879,577,977,629
1038,880,577,980,629
1039,882,577,982,630
1040,884,577,984,629
1041,885,576,986,629
1042,886,575,988,629
1043,888,575,990,628
1044,889,573,991,628
1045,890,570,994,629
1046,891,567,996,630
1047,893,563,999,631
1048,895,560,1002,632
1049,898,556,1005,632
1050,901,554,1008,631
1051,904,552,1012,631
1052,909,550,1017,629
1053,913,550,1021,628
1054,918,551,1026,627
1055,924,552,1031,626
1056,930,554,1037,626
1057,936,556,1043,627
1058,942,559,1049,628
1059,949,562,1055,631
1060,956,566,1062,633
1061,963,570,1068,636
1062,970,575,1075,639
1063,978,580,1082,641
1064,986,586,1089,644
1065,993,591,1096,646
1066,1000,596,1104,648
1067,1007,599,1111,651
1068,1013,602,1118,654
1069,1020,605,1125,656
1070,1026,607,1131,658
1071,1032,608,1137,659
1072,1038,609,1143,660
1073,1043,610,1149,660
1074,1048,610,1154,660
1075,1054,610,1160,660
1076,1058,611,1165,660
1077,1063,611,1170,660
1078,1068,612,1174,661
1079,1072,613,1179,662
1080,1077,615,1183,663
1081,1081,618,1187,666
1082,1085,621,1192,669
1083,1089,625,1196,672
1084,1093,630,1200,677
1085,1097,636,1203,682
1086,1100,642,1207,687
1087,1104,648,1211,693
1088,1107,654,1214,699
1089,1110,660,1218,705
1090,1113,666,1221,711
1091,1116,672,1224,716
1092,1118,677,1227,721
1093,1120,681,1229,725
1094,1122,684,1230,728
1095,1123,686,1232,730
1096,1123,688,1232,732
1097,1123,688,1232,733
1098,1123,688,1231,732
1099,1122,687,1230,731
1100,1120,686,1228,730
1101,1119,685,1226,728
1102,1116,684,1223,727
1103,1114,683,1221,726
1104,1111,683,1217,726
1105,1108,682,1214,725
1106,1105,682,1210,725
1107,1102,682,1206,724
1108,1099,682,1202,724
1109,1095,682,1198,724
1110,1091,682,1194,724
1111,1087,682,1190,724
1112,1083,682,1186,725
1113,1079,682,1181,725
1114,1075,683,1177,724
1115,1071,683,1172,723
1116,1068,682,1167,723
1117,1063,681,1163,722
1118,1059,679,1160,722
1119,1056,678,1157,723
1120,1053,675,1154,725
1121,1051,673,1152,725
1122,1050,672,1151,724
1123,1049,673,1150,721
1124,1048,673,1149,718
1125,1049,673,1149,716
1126,1049,673,1149,715
1127,1050,674,1150,715
1128,1050,673,1151,715
1129,1050,671,1153,715
1130,1051,671,1153,715
1131,1051,670,1154,715
1132,1052,670,1155,715
1133,1052,669,1156,715
1134,1052,669,1156,715
1135,1052,668,1157,715
1136,1052,668,1157,715
1137,1051,668,1157,715
1138,1051,667,1157,714
1139,1051,667,1157,714
1140,1050,667,1157,714
1141,1049,667,1156,714
1142,1049,667,1156,714
1143,1048,667,1155,714
1144,1047,666,1154,714
1145,1046,666,1153,713
1146,1044,666,1152,713
1147,1043,665,1151,713
1148,1042,665,1150,713
1149,1040,665,1149,713
1150,1038,665,1147,712
1151,1037,664,1145,712
1152,1035,664,1144,712
1153,1033,664,1142,712
1154,1031,663,1140,711
1155,1029,663,1138,711
1156,1026,663,1135,711
1157,1024,662,1133,710
1158,1022,662,1131,710
1159,1019,663,1128,710
1160,1017,663,1126,711
1161,1014,664,1123,712
1162,1011,665,1121,713
1163,1008,666,1118,714
1164,1006,667,1115,715
1165,1003,665,1112,718
1166,999,660,1109,722
1167,996,654,1108,726
1168,994,647,1107,729
1169,992,642,1106,731
1170,992,639,1106,732
1171,992,637,1106,732
1172,994,637,1107,730
1173,996,638,1109,729
1174,999,641,1111,727
1175,1003,645,1114,724
1176,1008,651,1116,721
1177,1012,657,1120,718
1178,1017,662,1123,716
1179,1022,666,1128,715
1180,1026,668,1132,714
1181,1031,670,1136,715
1182,1035,671,1140,716
1183,1038,672,1144,717
1184,1042,673,1147,718
1185,1046,674,1151,719
1186,1049,675,1154,719
1187,1053,676,1156,720
1188,1056,678,1159,721
1189,1059,679,1161,721
1190,1062,681,1164,721
1191,1065,683,1165,720
1192,1068,683,1167,720
1193,1070,684,1169,721
1194,1072,684,1172,721
1195,1075,684,1175,723
1196,1078,684,1178,724
1197,1081,684,1181,724
1198,1085,684,1184,723
1199,1089,685,1188,723
1200,1094,686,1191,723
1201,1098,687,1196,723
1202,1102,686,1200,724
1203,1106,685,1205,725
1204,1109,685,1208,726
1205,1113,686,1212,726
1206,1117,686,1216,726
